web-scraper-order,web-scraper-start-url,links,links-href,Pages,Pages-href,Country,Place,Details
1702447114-11,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"50. Dian Lake8.94.6/57.3k Reviewsbased on 294 reviewNo. 2 of Top Best Things to Do in KunmingLakesPau1982Dianchi Lake is also called Kunming Lake, Kunming Lake, anciently known as Nanze, located in the southwest of Kunming City, the capital of Yunnan Province, China, is the largest plateau freshwater lake in Yunnan Province. The lake is 1886 meters above sea level. It is shaped like a stomach. The bottom of the lake is flat. The northern Haitang Lake embankment is called ""Caohai"" to the north and the south is called ""Outer Sea"". Dianchi Lake belongs to the Yangtze River water system, which is the upper reaches of the Pudu River, a tributary of the Jinsha River. The main river into the lake is Panlong River, and the main river out of the lake is the Haikou River (Asahi River). The basin spans Wuhua District, Guandu District, Xishan District, Songming County, Chenggong County and Jinning County, and the basin area is 2855 kilometers. It is the sixth largest freshwater lake in China. It is surrounded by mountains, Jinma Mountain in the east, Biji Mountain in the west, Sheshan Mountain in the north and Heshan Mountain in the south. These mountains are rolling and rolling, forming a natural barrier for Kunming dams. Kunming dams are rich in rice, wheat, broad beans, corn, oil and other crops, and are famous in Yunnan's ""fish and rice hometown"".China · KunmingFree",https://my.trip.com/travel-guide/attraction/kunming/dian-lake-75903/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Dian Lake,"Dianchi Lake is also called Kunming Lake. It is the sixth largest freshwater lake in China. It has the nickname of ""Sparkling Pearl Embedded in a Highland"". The lake is wide and spectacular. Every winter, a large flock of red-billed gulls migrate here from Siberia, making it a good place for bird watching and bird feeding. There are different ways to explore Dianchi lake. You can stroll around the lake, cycle, or ride a boat. You can also climb up to the Dragon Gate overlooking Dianchi Lake to get a better view of the entire lake."
1702447123-12,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,49. Du Fu's Thatched Cottage8.94.6/518.4k Reviewsbased on 797 reviewNo. 2 of Top Family-friendly Attractions in ChengduFamous ResidencesMemorial TemplesErinLI came here after visiting the panda base and it's a beautiful place to stroll around and look at the scenery.China · Chengdu,https://my.trip.com/travel-guide/attraction/chengdu/du-fu-s-thatched-cottage-76340/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Du Fu's Thatched Cottage,"Du Fu Thatched Cottage is the former Chengdu residence of the famous Tang Dynasty poet Du Fu. Du Fu lived here for nearly four years. During his stay, he created hundreds of poems. This place is thus regarded as the “holy land”  of Chinese literature. Today's Du Fu Thatched Cottage has survived multiple dynasties and been restored many times. The most important architecture of the place is his former residence, the thatched house. This former residence was built with the architectural characteristics of the western Sichuan civilian residences."
1702447132-13,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,48. Stone Forest8.94.6/511.5k Reviewsbased on 54 reviewNo. 1 of Top Best Things to Do in ShilinGeological SitesGretaaroundChinaA beautiful and peaceful place! Worth to be surrounded by nature at an UNESCO’s heritage site!China · Kunming,https://my.trip.com/travel-guide/attraction/shilin/stone-forest-82204/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Stone Forest,"The Stone Forest is one of Kunming’s must-see sites. Boasting a classic karst topography, the Stone Forest is full of rocky peaks, jagged rocky outcroppings, water caves, and underground rivers. The Stone Forest is centered around the Major Stone Forest and Minor Stone Forest scenic areas. The Minor Stone Forest is thick with outcroppings of rocky peaks, and the Ashima Stone stands here, named after the legendary Yi maiden who turned into the stone when she was forbidden to marry the one she loved. At the Major Stone Forest scenic area, visitors can enjoy the reflection of the Stone Forest in the Lion Pool, or take a boat ride on the Stone Forest Lake."
1702447140-14,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"Closed at 14:0047. Potala Palace8.94.8/519.5k Reviewsbased on 2.5k reviewNo. 1 of Top Best Things to Do in TibetTemplesHistorical ArchitecturesAngelina_chiThis is the place we played in the second half of the trip. Because it is very difficult to exercise at more than 3,600 altitudes, and it is required to play in the palace and within 1 hour, so friends who climb the stairs should gradually rest and take pictures.China · Lhasa",https://my.trip.com/travel-guide/attraction/lhasa/potala-palace-75936/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Potala Palace,Potala Palace is a transliteration of and is also translated as Putuo. It originally refers to the residence of Guanyin Bodhisattva. The main buildings of the Palace are the White House and the Red Palace. The White House is the place where the Lama lives and conducts political activities. The Red Palace is the spiritual tower and temple of various Lamas. It is praised as one of ten greatest buildings in the world. The Potala Palace is a symbol of Tibet. It is the residence of the Lama’s Winter Palace and is also the center of Tibet’s political and religious unity.
1702447150-15,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"46. Ocean Park Hong Kong8.94.7/529.6k Reviewsbased on 10.6k reviewNo. 2 of Top Best Things to Do in Hong KongWater ParksTheme ParksKaren styleThe weather is very good, and there are few people today, so there is no need to queue up to play anything. But I always feel that the ocean today is not like the ocean park before. The goldfish are gone, the marine life is less and less, and the water is not so clear.Ready to Use ImmediatelyAvailable TodayChina · Hong KongSave RM 87.53RM 298.55From RM 211.02",https://my.trip.com/travel-guide/attraction/hong-kong/ocean-park-hong-kong-10558616/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Ocean Park Hong Kong,"· Dive into the world of deep sea and explore different theme parks· Visit star pandas and meet the penguins from the polar regions· Challenge motorised games and enjoy the speed
Hong Kong Ocean Park combines the fun of a theme park with the experience of an aquarium for an excellent family day out. Jump on a roller coaster, be dropped from dizzying heights, or speed down a river - if you dare. See an impressive collection of sea creatures in expansive viewing panels, giving you the impression of swimming among the fish. Get up close with some animals and learn about animal protection as you pass Arctic fox dens, koalas in gum trees and even two giant pandas in their forest. The park's own form of transport is just as famous as its attractions: its cable car gives great views and visitors can see a real map of attractions below them.
High Peaks Park△The amusement park carnival is more suitable for adults who are looking for excitement. Whether it’s the roller coaster, rocking boat, or jumping machine in the “Ocean World”, or the surfing spaceship, ore ride, or earth-shaking ride in the “Rapid World” and “Dynamic World”, it will definitely make your heart beat faster and make you scream again and again.
△ Want to meet your dolphin friends? ""Date a Dolphin"" will take you deep into the background. The trainer will teach you simple command gestures, allowing you to interact with the dolphins as much as you want. You can also meet your dolphin friends up close and even touch them by the pool!
△ Wonders of the Ocean - ranked among the ten aquariums in the world and the 9th largest aquarium in the world. The museum also has an ornamental dome with a diameter of 5.5 meters, allowing visitors to explore the underwater world.
Main transportation in the park1. Mountain Cable Car: The mountain cable car connects the mountain to the bottom of the mountain along a 1.5-kilometer-long overhead steel cable. Passengers will enjoy the vast scenery of the southern district of Hong Kong Island and the South China Sea along the way.2. Mountaineering Elevator: The mountaineering elevator was opened in 1987 and connects the two areas of Nanlang Mountain (Ocean World) and Tai Shue Wan (Rapid World). With a total length of 225 meters, it is the second longest outdoor escalator system in the world. Mountain lifts are not affected by the weather.3. Ocean Train: Welcome to take a ride on Ocean Park's Ocean Train to embark on a thrilling deep-sea adventure journey, traveling at high speeds between the Peak Paradise on the mountain and the Seaside Paradise below."
1702447159-16,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"45. Prince Gong's Mansion8.94.7/518.1k Reviewsbased on 427 reviewNo. 6 of Top Best Things to Do in BeijingHistorical ArchitecturesFamous ResidencesSuki_yauThe Prince Gong's Mansion is the largest Wangfu in the Qing Dynasty. It has been used as the residence of Heyi and Prince Qing Yongxu, and was later given to Prince Gong 䜣. It is named the Prince Gong's Mansion and has been used to date. It is also the only fully preserved Wangfu, and only it and the Forbidden City are under the management of the Cultural Relics Bureau, and the others are the management of the Tourism Bureau. It is significant to see. When we entered, many tour groups entered together. The tour guide's explanation can also be heard a little by the way. It is said that every corner of Prince Gong's Mansion is built for the design of feng shui. My favorite corner is the bat pool. 1. Bat pool story: the pool is full of eucalyptus trees, every spring and summer, the quail falls, like copper money ""money"" falls full of bat pool, harmonic ""fu money"" full, the meaning is Fugui double full. 2. Fun: At that time, a tour guide with a group pointed to the group of friends to see the stone faucet in the pool, I also curiously searched, finally found the stone faucet hidden in the pool, very interesting.Ready to Use ImmediatelyAvailable TodayChina · BeijingFrom RM 26.10",https://my.trip.com/travel-guide/attraction/beijing/prince-gong-s-mansion-76613/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Prince Gong's Mansion,"Prince Gong's Mansion near Houhai, is the largest palace from the Qing Dynasty. It was once the residence of Minister Heshen during the reign of Emperor Qianlong of the Qing Dynasty. Heshen is a famous corrupt official in Chinese history. After Prince Gong moved in, it was renamed Prince Gong's Mansion. Prince Gong's Mansion is a relatively well-preserved palace from the Qing Dynasty. There are more than 30 different types of buildings here. At one point, the garden in the mansion was one the most exquisite mansion gardens in Beijing."
1702447168-17,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,44. Humble Administrator's Garden8.94.6/554.6k Reviewsbased on 2.3k reviewNo. 1 of Top Best Things to Do in JiangsuUNESCO World Heritage - Cultural SitesGardensAnonymous UserIf you don't have a mainland contact number. Trip.com is the ideal place to purchase the entrance tickets . Easy to purchase and easy to use. Humble Administrator 's Garden 拙政园is a huge garden. One can spend a couple of hours in it taking photos.Ready to Use ImmediatelyAvailable TodayCancel Any TimeChina · SuzhouFrom RM 45.68,https://my.trip.com/travel-guide/attraction/suzhou/humble-administrator-s-garden-82473/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Humble Administrator's Garden,"This is one of ""China's Four Gardens"" and a world cultural heritage site. The Humble Administrator’s Garden is known for its water landscape that highlights the ambiance of the Southern Chinese villages built on bodies of water. It is elegant and delicately designed. In the garden, different kinds of ancient architecture were built on water. They are scattered strategically and not one is the same as another. The garden is divided into three parts: the east, the middle, and the west. Each part has its own characteristics, especially the central garden, which basically maintains the simple and natural style of the Ming Dynasty gardens."
1702447177-18,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"43. Manting Park9.04.5/59.6k Reviewsbased on 68 reviewNo. 1 of Top Best Things to Do in JinghongCity ParksSenem AkarsuManting Park was a wonderful experience. I would suggest that you spend a few hours walking around in the park and possibly bring something to lay on by the lake in the park to enhance your visit. I would recommend that you visit all of the locations within the park, as the temples are beautiful. There is also a bonfire show that takes places at the entrance of the park. Dinner is provided, which was the local food from the Dai ethnic minorities. The majority of the show takes place as you are eating your dinner, so remember to pay attention. It is a show of dancing, singing and acting performances. I bought the second class ticket to the show from the ticket booth right outside the entrance on the right.China · Xishuangbanna",https://my.trip.com/travel-guide/attraction/jinghong/manting-park-10558620/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Manting Park,"Located in the southeast of Jinghong City in Yunnan Province, Manting Park is a natural village-style park and a well-established urban park in Xishuangbanna. Travelers can visit the vines area, check out plants and gardens in the peacock garden, visit exquisite Dai and Thai-style buildings, and watch ethnic musical performances in the evening."
1702447186-19,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"42. Libo Seven Small Arches (Xiaoqikong) Scenic Area9.04.7/517.5k Reviewsbased on 108 reviewNo. 1 of Top Best Things to Do in QiannanBridgesLakesWaterfallsMountains子龙糖糖{""CommentTotal"":915,""HotelId"":5492924,""HotelStar"":2,""HotelType"":1,""IsFlightOrder"":false,""NetInfo"":1,""NonMemberLogin"":0,""RoomList"":[{""RoomId"":41488099,""RoomNameChina · Qiannan",https://my.trip.com/travel-guide/attraction/libo/libo-seven-small-arches-scenic-area-90599/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Libo Seven Small Arches (Xiaoqikong) Scenic Area,"The Libo Seven Small Arches Scenic Area is located among the karst peaks south of the Libo County urban area. The attraction gets its name from a seven-arched bluestone bridge that crosses the noisy river there. The site incorporates all the beauty of mountains, water, trees, caves, lakes, and waterfalls. This natural splendor has combined with the authentic cultural flavor of the Tujia and Yao people of the area to bring fame to the area. Attractions like the ancient seven-arched bridge, the water forest, the crouching dragon pool, and Mandarin Duck Lake make the area like an earthly fairyland."
1702447194-20,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"41. Hunan Provincial Museum9.04.8/59.5k Reviewsbased on 127 reviewNo. 1 of Top Museums & Galleries in HunanMuseumsCheung StephanieHunan Museum is a free visit, which can see the history of the famous Ma Wangdui in Changsha, which is more than 50 years old. It gives you a good idea of how good the previous practice of preserving bodies was.China · ChangshaFree",https://my.trip.com/travel-guide/attraction/changsha/hunan-provincial-museum-77595/?locale=en-MY&curr=MYR,5,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/5.html/?locale=en-MY&curr=MYR,China,Hunan Provincial Museum,"Hunan Museum has a rich collection of cultural relics, especially of those from the Mawangdui Han Dynasty Tombs. The Mawangdui Han Dynasty Tombs Exhibition is a permanent exhibit at Hunan Museum. It features thin-as-cicada-wing plain yarn garments, undamaged printed cotton gowns, all kinds of exquisite embroidery, brightly painted lacquer wares, delicate and detailed paintings, and so on."
1702447206-21,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/?locale=en-MY&curr=MYR,"40. Xijiang Qianhu Miao Village9.04.2/518k Reviewsbased on 177 reviewNo. 1 of Top Best Things to Do in QiandongnanAncient TownsMountain Climbing_Hiking Fairy徒步仙子Enchanting Miao village nestled in breathtaking mountains. Rich cultural heritage, vibrant traditions, and warm hospitality. A hidden gem😍China · Qiandongnan",https://my.trip.com/travel-guide/attraction/leishan/xijiang-qianhu-miao-village-82153/?locale=en-MY&curr=MYR,4,https://my.trip.com/travel-guide/attraction/china-110000/tourist-attractions/4.html/?locale=en-MY&curr=MYR,China,Xijiang Qianhu Miao Village,"Xijiang Qianhu Miao Village is a very large village of the Miao, one of China's minority groups, and is composed of more than a dozen smaller villages built on the side of the mountain. Within the village are the Miao group's unique wooden houses, called Diaojiaolou. At night, when all the lights of these houses turn on, the view is beautiful. When you come to Xijiang Qianhu Miao Village, in addition to enjoying the scenery, you'll also experience the Miao's way of living. Here you can enjoy a special ""long table feast,"" as well as a variety of Miao specialties, which are mostly sour and spicy."
