,Place,Details,Class
10,Nelson Mandela Square,"Mandela Square is one of the most popular places in South Africa. The whole square is full of fashion, casual coffee bars, restaurants, and 93 plus special stores. Due to its central location in Sandton, transportation is very convenient, with access to the financial district, Sandton Convention Centre, luxury hotels and 295 unique shops in Sandton City. The design idea of the whole square is to bring the Italian style of life to Africa.",None Related
11,Grand Baie,"Grand Bay is a bay town in the north of Mauritius. The sea here is calm and the sandy beaches are delicate. It is also a local snorkeling resort. You can snorkel and dive here, and you can also go out to sea to chase dolphins. Topographical features Dawan is named after the curved fjord located in the north of the island. It is a harbor town and an important scenic spot in the north of Mauritius. Surrounded by land on three sides, the blue water is particularly quiet here, and it is only a white bay. The sandy beaches have attracted countless tourists from Mauritius. Relax here, some people will play in the sea water, some people will choose to sit on the shore fishing, some people will lie on the beach chair and close their eyes, and you can be any of them. In addition, it is also a diving resort, whether it is snorkeling or diving, it is suitable for all kinds of people. Of course, if you plan to go to sea, you can also order whale watching and dolphin chasing projects on the shore, so that you can completely relax your body and mind. In addition to the lively harbour market, large supermarkets and shopping centers in Dawan are also readily available, while bars and specialty shops can fully satisfy tourists' petty bourgeoisie complex.",None Related
12,Bahia Palace,"The Bahia Palace is an elegant palace in Marrakech. It was built by a dignitary at the time. It was built at the end of the nineteenth century and is now a relatively complete monument in the area. The buildings here are covered with Islamic carvings and mosaic tiles. The whole is exquisite and elegant, and it is worth visiting.",None Related
13,Notre-Dame Auxiliatrice de Cap Malheureux,"There is a very romantic place in the north of Mauritius. Deep in the quiet forest, a small red-roofed church is attracting people from all over the world with its unique and fresh charm. This is the red-roofed church. Church Scene This red-roofed church built by the French has a history of a hundred years. It stands quietly by the sea. The white walls and red-roofed buildings set off the green lawn and the blue sea behind, making the church one of the most popular in Mauritius. One of the most popular postcard locations. Standing beside the church near the sea, the blue sky and white clouds, blue sea and silver sand, green grass and red tiles, as well as the beautiful coastline attract many people to visit and photograph. In addition to its signature red roof and fresh and pleasant appearance, the red-roofed church has an exquisite and complex wooden structure inside the church, and the workmanship is particularly exquisite. There is no air conditioning in the church, just two ceiling fans. The interior benches are also painted red, which is consistent inside and out. In addition, there is also a holy water basin made of giant clam shells, which is also worth visiting.",None Related
14,Cairo Citadel,"Saladin Citadel, also known as Cairo Citadel, is located on Mugaitam Mountain in the eastern suburbs of Cairo. The castle stands tall and was built by General Saladin in the 11th century to defend against invasion. Scale The castle covers a very large area and is very majestic. The city wall is 2 meters high. The castle is divided into an inner city and an outer city. The rulers of all dynasties have left their relics here. The ancient canal, Youssef well, and the National Military Museum are all monuments worth seeing. Castle Highlights There is a green grass in front of the castle, climb the castle, stroll in the courtyard, see the exquisite doors and windows and the finely carved bathroom. Then you can enter the temple and visit the resplendent inner hall to feel its solemnity. There is also a kiosk outside the temple, which is a great viewpoint overlooking Cairo. Other buildings are in the castle, and dense signposts guide other important facilities within the castle, as well as cafes and Italian restaurants dedicated to tourists. Afterwards, you can also visit the Military Museum, which was originally part of the Royal Palace and was later converted into a Military Museum. It displays military items such as uniforms and medals. You can also take a walk in the garden area. The garden in the castle is also a museum. The scattered columns on the grass and the remains of other mosques are the exhibits. If you have time, take a stroll to the other end of the castle to visit the Suleymani Pasha Mosque and climb the tower for a view. This is an Ottoman building from the early 16th century. The exquisite minaret, the carved pulpit, the painted scales and the frescoes in the tomb are all exquisite and worth savoring.",None Related
15,Fes Médina,"The Medina of Fes is also the old city of Fes. Its establishment can be traced back to the end of the 8th century. The Idris Dynasty established the capital here in 808 AD. It was the city's rapid development. During the Hadid dynasty, the medina of Fes has grown to the size that people see today. So far, the Fes Medina still retains a relatively complete city wall. The old city is very large and is the largest Medina in Morocco. There are nearly 10,000 alleys in the old city, which are narrow and winding like a labyrinth, so it is known as a city without cars in the world, and donkeys are a very important means of transportation. The old city is a very important tourist destination in Fes. The leather dyeing workshop, the Blue Gate of Boujlou, and the University of Carouin are all distributed in the alleys here.",None Related
16,Miami Beach Boardwalk,"The Miami Seaside Boulevard is a viewing road close to the sea, and it is also a more beautiful place in Casablanca. The more famous local attractions, Hassan II Mosque and Rick Cafe are all around. The seaside boulevard has a wide driveway, and the side of the driveway facing the sea is a spacious wooden plank road, and the handrail can overlook the blue Atlantic Ocean. The part that stretches out to the beach under the balustrade of the plank road is a row of closely connected cafes, bars, swimming pools... full of a leisurely holiday atmosphere. At the corner of the seaside boulevard to the south almost to the end, there is a well-known local coffee shop ""Miami"", which is why the boulevard was named. The Miami Cafe is located on a high embankment, facing the water on both sides, sitting in an open courtyard with only the endless Atlantic Ocean in front of it. At sunset, it is extraordinarily beautiful. On the side of Miami Seaside Boulevard close to the city, there is an ""Anfa Villa District"" among the hidden trees, equipped with a horse farm and a golf course, each house has private security, and outsiders are not allowed to enter without invitation. It is said that many international movie stars and celebrities from Europe and the United States have residences here.",None Related
17,Luxor Hot Air Balloon,"Set off before dawn, enjoy the sunrise view of the Valley of the Kings on a hot air balloon, the entire ruins of Thebes are at your feet, feel the strong atmosphere of ancient Egypt in the air, and at the same time satisfy the yearning for the sky and history, nothing compares This is an even more fantastic way to start the day. You can see in the sky the valleys of kings and queens on both sides of the road, the great temple of Queen Hatshepsut and the city of Hab are so small. Play time Luxor's hot air balloons must take off before sunrise to ensure the beauty of the sunrise on the west coast. Therefore, according to the location of the hotel, it is generally necessary to leave around 4 o'clock and head to the designated location on the West Bank. The general hot air balloon tour time is 30-45 minutes, which will fluctuate according to the weather of the day and the judgment of the captain, and then a flight certificate will be attached. But the event also depends on the weather, with most balloon companies canceling events when the winds are erratic. The hot air balloon company recommends MagicHorizon. This company has a large scale, medium prices, friendly and professional staff, and has a good reputation among tourists. Address: KhaledIbnElWalidStreet(oppositeSteigenbergerNilePalace), 85511Luxor Tel: (095)2274060E-mail: booking@magichorizon.com Official website: http://www.visitluxorinhotairballoon.com/HodHodSoliman This company has been operating for more than 20 years, with a high reputation and rich experience , and the service is warm and thoughtful. Address: OmrAliStreet, TelevisionStreet, Luxor Tel: (095) 2271116E-mail: info@hodhodsolimanballoons.com Official website: http://www.hodhodsolimanballoons.com/",None Related
18,Hercules Caves,"On the mountain near the sea on the north side of downtown Tangier, the hole is not too big. It is only a few dozen meters from the entrance of the hole, and you can see the head after turning a corner. At the end is a hole facing the sea, which happens to be a little above sea level, so you can see the vast sea through the hole, and seagulls are flying in the air. If you have time, you can see the magnificent scenery of sunrise and sunset over the sea. From the entrance of the cave, there is a small square surrounded by six or seven coffee shops and souvenir shops, and you can park in the middle. It is very suitable for a leisurely sitting for a while, having a cup of coffee and blowing the sea breeze.",None Related
19,Koutoubia,"The Koutoubia Mosque is the symbol of Marrakech and the center and highest point of the old city of Marrakech. The mosque was built in 1195 by Jakub El Mansur, the architect who built the Hassan Tower in Rabat that year, to commemorate the victory over the Spanish. The minaret of the mosque is 67 meters high and has a magnificent appearance. It is one of the most beautiful buildings in North Africa. Compared with other mosques, the uniqueness of Koutoubia Mosque is that when the minaret was built, nearly 10,000 bags of precious spices were mixed into the mud that glued the stones, which made the mosque emit a rich aroma, which is still fragrant to this day. It is tangy, so it is also known as the ""fragrant tower"". Another unique feature of the Koutoubia Mosque is that the muezzin who climbed the tower to call people to pray must be blind. The mosque is not open to the public, only to Muslims. The small garden surrounding the mosque is built in the style of a French garden, overflowing with fragrant flowers.",None Related
20,Maasai Mara National Reserve,"Masai Mara National Reserve is a famous wildlife reserve in the world. This animal paradise consists of open plains, woodlands, rivers and forests. Nearly 100 species of mammals and more than 400 species of birds live here. Home to wild mammals. Watch zebras, giraffes, and antelopes foraging on the grasslands; watch rare birds and monkeys in the acacia forests; the abundance of elephants and bison is aesthetically exhausting; and the Mara River is home to big-billed hippos and fierce crocodiles. world. The Masai Mara is beautiful all year round, but the celestial journey from July to September is especially spectacular. Millions of clumsy wildebeests, zebras and antelopes, in search of sustenance for food, migrate north from Tanzania's Serengeti National Park, across the Mara River, towards the Masai Mara, and again around October. Return to the south. I have to mention that Masai Mara is a well-known romantic sunset spot. In a golden-red world mirrored by the sunset, the vigorous plants on the vast grasslands and the quiet and leisurely animals complement each other. Such a beautiful scenery is seen only once. Make it unforgettable for a lifetime.",None Related
21,Egypt Divers,"Stroll on the bottom of the Red Sea, surrounded by colorful corals, silvery fish, and mysterious shipwrecks. The Red Sea region has a unique ecological environment and seawater resources, and is a world-renowned diving paradise. Hurghada, Sharmel Sheikh and Safaga have many places for diving and diving agencies, you can choose to dive on the shore, or you can choose to go out to sea by boat. Diving in the deep sea.",None Related
22,Sidi Bou Said,"Located 20 kilometers north of Tunis, the blue and white town is a beautiful town with a Mediterranean atmosphere. Because in the eyes of Tunisians, blue symbolizes peace, all the houses here have only two colors - white walls, blue doors and windows, and the Andalusian-style cottages with blue windows and white houses are this blue and white small The character of the town, so simple and so romantic, makes it a suitor's paradise. The blue and white town winds up the mountain with a simple layout, a cobblestone-paved street with white houses shining in the sun on both sides, and some alleys sticking out from the house. The houses are only two or three stories high. What makes people feel as if they are in a fairy tale are the blue iron windows and blue wooden doors inlaid on the white wall. The arabesque scrolls are displayed on the iron window lattices, symmetrical and dreamy; the blue copper nails on the door The stars and the moon, as well as bows and arrows, flowers and other patterns are combined, which are gorgeous and exquisite. Walking in such a romantic and beautiful town, you might as well find a coffee shop to listen to the footsteps of time. Le Café des Nattes is a famous coffee shop in the blue and white town. It is a century-old coffee shop. After the painter Mache painted ""Viewofa Mosque"" here in 1914, the layout here has not changed. The cafe is located in the middle of the town, and it is easy for tourists to find it. There are too many people to sit indoors. The store will spread straw mats on the stairs for the guests to sit. It's called a straw mat cafe. The cafe offers a strong Italian-style coffee. A complete portion is only half a cup, usually mint tea. It is sweet and greasy, with a layer of pine nuts floating in it. small town. Jasmine is the national flower of Tunisia. Men in blue and white towns like to hang a bunch of jasmine flowers behind their ears. It is said that the jasmine blooms here for half a year. Young people or old people in traditional costumes often string the flowers into strings, insert them into large straw trays, and walk around the streets to sell them to tourists, forming a beautiful scenery. . If you are interested, you may wish to buy a few bunches of jasmine flowers and hang them on your chest or behind your ears, surrounded by the refreshing fragrance. When it comes to food, the fried doughnuts in the blue and white town are worth a try. The crispy doughnuts are wrapped in white sugar and are fragrant and sweet. Although the blue and white town is not big, if you look up, you can see the blue and tender Mediterranean Sea with beautiful scenery, enthusiastic residents and romantic and exquisite blue and white cottages everywhere. It's worth coming here, it's worth spending a few days here, forgetting the hustle and bustle of the city and enjoying the quiet time.",None Related
23,Old Medina Market,This is an ancient market in the center of Casablanca that sells handicrafts and souvenirs.,None Related
24,Khan el-Khalili,"Khalili Market is a well-known open-air market in Cairo and even in Egypt. It has been in business since the 14th century. Feel the enthusiastic merchants and the noisy bargaining sounds in the Arabian-style market, the fragrance of spices and a variety of gadgets, which will make you linger. Enter the market from the entrance of Al-Azhar Road, which is lined with historic Arab buildings on both sides, and even the old city walls and gates. Even if you don't buy anything, it's a good place to experience the local atmosphere and take pictures. There is also a famous Fisherman Cafe (FishawiCafe) at the entrance of the market, you may as well sit down and drink a cup of traditional Arabic tea.",None Related
25,Aït Benhaddou,"The fortified village of Ait Ben Haddou is a small village located in the Atlas Mountains in southern Morocco. The village was built in the 8th century AD. Villages, beautiful scenery are renowned in Morocco. In this ancient village, the red houses and earth walls are almost connected to each other, which also reflects the defensive character of the residents. This is also the place where many Hollywood directors tend to shoot, and many Hollywood blockbusters have been filmed here, such as ""Lawrence of Arabia"", ""Treasure of the Nile"", ""The Mummy"" and so on. As one of the filming locations of ""Game of Thrones"", it has attracted many tourists.",None Related
26,Abu Simbel Temples,"This is the temple built by Ramses II to show off himself and to prolong his life into the afterlife. The temple has two towering gates, a column hall with 48 huge stone columns, two broad courtyards and three sanctuaries, which are very spectacular. During the visit, you can read the history of changes in architectural styles and construction techniques of various types of temples in Egypt.",None Related
27,Victoria Falls,"Victoria Falls, located on the border between Zambia and Zimbabwe, is one of the three largest waterfalls in the world. Victoria Falls was included in the World Heritage List in 1989. Locals call it Mosi Otuna, which means smoke that thunders like a thunderbolt. In addition, there is a town in Zimbabwe with the same name as the waterfall. Due to the obstruction of the Dangjiang River on Livingstone Island, the waterfall is divided into five sections, forming Devil's Falls, Main Falls, Horseshoe Falls, Rainbow Falls and East Falls. Among them, the Devil Waterfall in the west is particularly majestic.",None Related
28,Kruger National Park,"Kruger National Park is located in South Africa, with a total area of 20,000 square kilometers from the border of Mozambique to the south. Kruger is a typical African grassland landform, and countless wild animals live on the vast grassland.",None Related
29,Duiker Island,"South African Seal Island is a small island located in Hout Bay (HoutBay), famous for the large number of seals and seagulls on the island. Cape fur seals are native to southern Africa and breed on the coasts of South Africa and Namibia. They can reach speeds of up to 17 kilometers per hour. Seal Island is only a few kilometers away from Hout Bay Pier. To go to Seal Island to see the seals, you need to take a cruise ship.",None Related
30,Île aux Cerfs,"Kashima is a small island on the eastern coast of Mauritius. It is a beautiful beach in Mauritius. It is said that if you do not come to Kashima, you have never been to Mauritius. The beautiful sea and sky scenery and abundant water sports are particularly attractive. The island environment Ludao has a beautiful lagoon, the water is wide and calm, and the sandy beach is white and delicate. It is named after deer wading across the bay. The island has beautiful scenery, coconut trees and a plant called Filaos, and it is famous for a shoal. Deer Island is not big, surrounded by black reefs and covered with lush plants. Famous for its shallows, non-swimmers can walk a few hundred meters at low tide from Kashima to its neighboring eastern island without worrying about being flooded. Walking on the shoal, the sun shines on the water with fine waves, like a layer of shimmering silver on the water surface, and like a crumpled green satin, you can experience the beauty of the blue sea and blue sky, which is very beautiful. Instructions for visiting the island and water sports You can apply for a local day trip to Ludao, you can consult at the hotel, usually starting from Calm Bay. It takes about 20 minutes to arrive at Kashima by boat, where you can do whatever you want and enjoy various marine sports, such as windsurfing, speed boat, glass bottom, water paragliding, diving, fishing, surfing and banana boat. Of course, the main thing is to come here to swim and enjoy the sun and sand. Other Projects Small Deer Island also has an 18-hole golf course and two restaurants. Walking on Deer Island, you can play in the water with your loved ones, or lie on the fine sandy beach and enjoy healthy sunbathing. . When hungry, slow down and enjoy a lazy Mao Guo lunch at Sea View Restaurant, how wonderful.",None Related
31,Kasbah of the Udayas,"Udaya Fort is located to the east of the old town of Rabat, where the Bregreg River enters the sea and is close to the Atlantic Ocean. It is an ancient castle complex. It was built in the 12th century by the Berber dynasty and later used by the Arab dynasty. It was occupied by the Portuguese and the French. The existing open area of Udaya Fort is divided into three parts: the first is the courtyard garden, which was built by King Ismail in the 17th century. The second is the museum, which is divided into two exhibition rooms. One is the exhibition of jewelry and musical instruments of the past dynasties, and the other is the national costumes of the past dynasties, including Berber, Saharan, Moroccan Jewish costumes, and ancient copper and earthenware utensils; the third is a high-altitude platform , which is the relic of the ancient air market. Standing on the platform, you can overlook the estuary of the Bregreg River, the ancient port of Rabat and the panoramic view of the city of Salé. The Berber houses and streets are preserved in the Udaya Fort, which is unique. Next to the fort is a group of bungalows located overseas. It was originally a Portuguese military prison. After the French occupation, it was changed to a restaurant, which has been open since then.",None Related
32,Karnak,"Karnak Temple is located on the east bank of the Nile River, 700 kilometers south of Cairo. It is a large-scale temple complex in ancient Egypt and an ancient temple in Thebes. Founded in 2000 BC, more than 50 pharaohs participated in the construction. It was not until the 3rd century BC that the temple, which had been built for a long time in the history of civilization, was finally completed. The temple is divided into three parts by brick walls, the middle part is better preserved and the larger part, it is dedicated to the sun god Amon (Amon). The one on the left is dedicated to the god Montu, while the other is dedicated to the wife of the god Amun, the goddess Mut in the form of a vulture, but has not yet been excavated. In addition, there are dozens of temples of various sizes in the complex. There are two rows of statues with heads of sphinxes and rams on both sides of the Shinto that leads to the pylon of Karnak Temple. It is said that in history, this Shinto, guarded by a sheep-headed sphinx, leads to the Luxor Temple, which is 3 kilometers away. Throughout the temple, you can see many frescoes, statues, and pillars that use mud and stones to restore and glue the fragmented monuments together. This is because the Karnak Temple has been built more than 4,000 years ago, and it has been more than 2,000 years since its completion. Due to man-made and natural destruction, the temple was once beyond recognition. I don’t know how many years and how many archaeologists have worked hard to present the current Karnak Temple to the world.",None Related
33,Luxor Temple,"The Luxor Temple was mainly built by Amenhotep III (1380 BC-1352 BC) and Ramses III (1279 BC-1213 BC). The Luxor Temple is located in the city center. It used to be a small temple used to celebrate the New Year. Later, Amenhotep III, Thutmose III and Ramses II successively expanded and repaired this place and used it as a place to welcome Amenhotep III, Thutmose III and Ramses II. It is also known as the ""Southern Palace of God Amon"" because it is the memorial place of God Mon Ra, Goddess Mut and God Kongsu. A grand festival is held here every year during the Opert Festival (end of May-June). The temple's former sphinx road, named after the sphinx, could have led all the way to the Karnak Temple, but it has been interrupted. In the temple, you can see the huge statue of Ramses II, the granite obelisk and the magnificent stone pillars.",None Related
34,Valley of the Kings,"The Valley of the Kings is located on the west bank of the Nile, 7 kilometers from the shore, and can be reached from the steep mountain road at the northern end of the Acropolis of Thebes. There are a total of 63 imperial tombs here, burying 64 pharaohs from the 17th dynasty to the 20th dynasty.",None Related
35,Casela Nature Parks,"Located on the west coast of the island of Mauritius, the park is an excellent soil that can be close to nature. There are a large number of birds, as well as rare giant tortoises and other animals in the park. Against the backdrop of African-style vegetation and scenery, it can be described as a ""miniature Kenya"". Walking with Lions One of the must-see experiences in Mauritius is ""Walking With Lions"" in the Casela Natural Park. Accompanied by professionals, you can experience the thrill of walking side by side with the king of the jungle, and even play in the streams and grasslands together to stage a live-action version of ""Tarzan."" Afterwards, you will be awarded a bravery certificate as a souvenir. Four-wheel drive You can also choose to rent a four-wheel drive or a more maneuverable two-wheel Segaway to travel freely through the lush tropical forests, waiting for unexpected encounters with zebras, tortoises and ostriches. A more exciting experience is the ropeway gliding project through the valley in the park. You will experience a wonderful journey like a bird soaring in the sky in the gliding distance of hundreds of meters. In addition, the park has free parking lots, restaurants, grocery stores, 4D cinemas, souvenir shops and other service facilities for tourists' leisure and entertainment needs. The park is very large and rich in content. If you want to play it all, it will take at least half a day.",None Related
36,Yves Saint Laurent Mansion,"This was once a private villa built by French artist Jacques Majorelle, and later bought by French fashion master Yves Saint Laurent and lived here for several years. Now open to become a popular attraction in Marrakech, the garden is full of rare plants, surrounded by a blue villa, as well as the tombstone of Yves Saint Laurent and a small cafe. French artist Jacques Majorelle acquired a piece of land on the outskirts of Marrakech (now the new district of the city) in 1924, and then devoted almost his entire life experience to designing and building this garden, collecting various plants from all over the world to build a cactus garden , vine promenade, lotus pond, bamboo forest trail... It is said that there are more than 100 kinds of cactus alone. The garden is filled with the painter's favorite blue, and villas, vases, walls, pools, etc., all have this bright and pure blue. This blue was later called Majorelle blue. Until the painter died in a car accident in 1962, the garden was slowly abandoned. In 1980, Yves Saint Laurent and his legendary gay partner Pierre Berge discovered the Majorelle garden in Marrakech and immediately bought the garden. For nearly 30 years, the master lived in the Majorelle garden every spring. On June 1, 2008, the costume master passed away. Pierre Berge scatters his ashes in the garden to fulfill the master's wish. Now the villa has been turned into a museum, and in a room behind the villa, Yves Saint Laurent's manuscripts are displayed.",None Related
37,River Nile,"The Nile River is the mother river of Egypt. In the Cairo section, tourists usually choose to swim the Nile River at night, not only to enjoy the city night view of Cairo, but also to watch the wonderful belly dance or Sufi dance performance. There are many choices of cruise ships. At the docks on both sides of the Nile River in downtown Cairo, you can see a variety of cruise ships of different grades. The price ranges from 10 Egyptian pounds to one or two hundred Egyptian pounds. The more famous ones are Pharaoh Cruise and luxury dinner cruises ( MaximDinnerCruise), sailing cruise (FeluccaCruise), etc. Lively night cruises There are parades during the day and at night. Usually, there are belly dances, Sufi dances and other performances on board during night cruises, which are very lively. You can book night tours at your hotel and get lower group rates. The Pharaoh cruise ship's retro Pharaoh-style hull is very characteristic. There are four cruises a day at 14:30 (lunch cruise), 16:30, 20:00 (dinner cruise), and 22:00 (dinner cruise). Reservations are required. Accept credit card payment, the reference price is 200 Egyptian pounds per person. Tel: 02-35701000, 02-35702645 Address: 138ElNilSt.Giza, Giza official website: http://www.thepharaohs.com.eg",None Related
38,Jemaa el-Fnaa,"Located in the old town of Marrakech, the square is both a civic square and a market. Because every night falls, it becomes lively here. Various restaurants and stalls fill the entire square. Snake charmers and various traditional performances attract many tourists. There are some two or three-story buildings around the square as restaurants or coffee bars. . Not far from the square is the Koutoubia Mosque, which can be seen when looking up.",None Related
39,Chefchaouen,"The old city of Chefchaouen is built on the hills and is an Arab settlement. It is very beautiful here. It is a ""Smurf City"", which is very suitable for taking pictures. The dense trails in the old city are covered by shops, all of which are blue houses. There will be endless photos taken here, and the flavors of restaurants in the city are also very diverse.",None Related
