Country,Place,Details,Class,WordCountBeforeCleaning
Indonesia,Bintan Island,bintan island indonesia larger riau archipelago larger city island tanjung pinang southwest bintan island close singapore resort hotel become back garden singaporean vacation leisure geographical location close equator bintan island sunny year round average annual temperature around degree sea clear blue beach white marine ecology quite rich island lush green tropical plant long silver sandy beach turquoise water various resort hotel resort hotel island complete leisure facility bintan tourist area north dozen famous resort resort hotel beach attached marine sport center provide tenant engage various activity variety marine activity windsurfing rubber dinghy diving fishing canoeing banana boating available little bintan island three golf club completely different style whether beginner advanced player swing sea breeze green field pilgrimage place golf lover different package option golf island cost includes transfer resort golf course club rental fee private guidance etc mysterious night tour mangrove unmissable travel experience island cool night along simeng river countless firefly flying among mangrove fluorescent light star night sky reflect rare forest experience feel integrated nature addition bintan island unique kuilong sea restaurant enjoy seafood feast blowing sea breeze evening enjoy sunset distance band performance restaurant spicy fried crab especially recommended resort shuttle bus reach,None Related,354
Malaysia,Awana SkyWay,admire picturesque landscape genting highland stunning panoramic overlook tropical rainforest exciting century fox feel cool mountain air enjoy ultimate experience like flying high sky admire tropical rainforest stunning view enjoy extraordinary air journey,None Related,61
United States,Precision for Medicine,precision medicine cro integrates clinical trial execution laboratory service data science help company develop therapy,Biotechnology,23
Indonesia,Dream Beach,dream beach beautiful beach popular attraction bali clear blue water fine sand colorful coral form unique beauty making ideal holiday destination wind wave high wave strong climbing power making paradise surfer get away busy life slow enjoy wonderful vacation rapid development hilly development area lembongan island already provide good accommodation condition living lembongan island enjoy sea view delicacy viewing platform hotel infinity swimming pool,None Related,113
Malaysia,Malacca River,malacca river small narrow strait connects malay peninsula sumatra however long narrow ocean passage carry necessary passage indian ocean pacific ocean boating activity malacca river held every day registration office tourist center office behind pier tour take minute travel way city old warehouse fish market pas kampungmorten typical malay village house called villasentosa return journey pas various pier along river yacht provided tourist island strait malacca play,None Related,126
United States,Fanuc,major producer robotic product manufacturer portfolio includes laser robodrills cobots company equips product capability example fanuc added ai path control function enhances precision robot combining machine learning acceleration sensor help robot improve movement time,Robotic,56
Russia,Rostec,russian conglomerate hold prominent position aerospace defense industry overseeing various russian aircraft manufacturing company rostec actively contributes production military civilian aircraft notably russian helicopter subsidiary rostec play vital role helicopter industry manufacturing helicopter diverse application rostec involvement extends development production avionics electronic system encompassing radar communication navigation equipment crucial aerospace technology conglomerate key player military aviation sector focusing advancement fighter jet bomber military aircraft bolster capability russian armed force engaging international collaboration rostec form joint venture technology transfer agreement foreign aerospace entity furthermore rostec invests research development striving pioneer innovative solution enhance fuel efficiency military civilian aircraft aerospace involvement part rostec broader portfolio span electronics telecommunication various industry,Aerospace,160
Africa,Great Sphinx of Giza,come pyramid egypt think sphinx pyramid scenic area near pyramid khufu pyramid khafre sphinx pyramid history year belong ancient egyptian civilization representative monument synonymous egypt name suggests sphinx statue lion front paw lying forward desert entire statue meter high meter long except front paw original head sphinx wearing crown relief holy snake body long beard collar around neck thousand year wind rain sand burial crown collar disappeared sphinx next khafre pyramid distance entering giza pyramid scenic spot bypass pyramid khufu go corridor side sphinx corridor next sphinx climb corridor picture visiting sphinx walk khafre pyramid behind nearby khufu pyramid,None Related,220
France,Avenue des Champs-ÃlysÃ©es,avenue de paris famous avenue heart french fashion countless famous international brand gathered disney louis vuitton paris fashion capital world fashion capital paris matter style visitor sure find something slowly stroll along champ eventually come arc de triomphe window facing street filled elaborate display fashionable brand newest product line nothing else meet desire going window shopping,None Related,106
United States,AbbVie,discover deliver innovative medicine solution address complex health issue enhance life,Biotechnology,16
France,Ile de la Cite,ile de la two island seine river paris france ile geographical middle paris historical birthplace paris famous notre dame cathedral conciergerie island attraction xidai island subway xidai island subway entrance north side island paris court paris prison far away visitor pas consider entering prison opposite ancient prison although gothic building small whole unique beauty tranquility interior decoration delicate stained glass second floor exquisite notre dame cathedral light came window ground covered beautiful large spot light visitor pas enter directly without queuing leaving go straight cathedral tourist come xidai island come famous cathedral famous gothic architectural style carving painting altar cloister door window etc famous large number art treasure century queuing top although stair bell tower floor walking scenery waiting hour peak season still make feel worthwhile say clock tower day eiffel tower night must experience side seine paris city hall notre dame across river small square front notre dame passage high stand erected step always full enjoying performance artist,None Related,336
Japan,LEGOLAND Discovery Center Osaka,legoland discovery center osaka mount tenpo indoor amusement park ideal child park make use lego brick recreate attraction street scene around osaka tsutenkaku dotonbori hanshin koshien stadium tired visitor watch movie grab food park restaurant,None Related,56
Japan,OMRON Group,industrial robot line omron group feature scara robot articulated robot well parallel robot application scara robot capable assembly precision machining material handling adhesive application robot machining assembly material handling variety industry,Robotic,56
Malaysia,Aquaria KLCC,ground floor iconic twin tower conference center bear resemblance sydney opera leisurely stroll underwater tunnel admire nearly different specie rare marine terrestrial creature totaling sure miss thrilling shark feeding show ï wide variety marine life learn marine ecology,None Related,72
United States,Brain Corp,brain proprietary technology make ai robot adaptable flexible navigate unstructured environment like warehouse store floor robot mapping routing surface anomaly detection object avoidance data capture capability emma brain corp robot tested walmart store floor cleaning,Robotic,51
New Zealand,Lake Rotorua,lake rotorua area lake rotorua largest lake area city name derived south side lake urban area lake rotorua third largest lake new zealand year ago huge volcanic eruption occurred ground collapsed form circular crater width kilometer formed rainwater filled crater lake rotorua countless hot spring rotorua two step mass heat floating air sometimes three two spring gathered together water mist like fairyland geothermal city life name faint smell sulfur everywhere geothermal hot spring everywhere spa pool hotel room area lake gleaming seagull flock together mud hot spring boiling become tourist attraction geothermal activity continued around lake geothermal steam constantly lingering around lake water high sulphur creates wonderful color walking along lake shore calm lake surrounded rolling hill gentle curve meet sky large group black swan swimming gracefully lake everywhere countless rainbow trout swimming vast lake get early go lake watch sunrise really beautiful facing morning light blue red gold intertwined sprinkled lake gorgeous accompanied shimmering light various bird swan wild duck seagull roamed lake quiet lake swayed circle ripple go winter different scene grass covered frost flower white plant near hot spring smoky green city two season winter spring stepping stone step hot spring holding cup water warm slippery rotorua active volcano worth seeing active volcanic eruption staged every morning spectacle amazed power nature volcanic mud major feature black mud bubbling feel heat looking lake cruise sailing boat kayak seaplane helicopter jet boat item go sightseeing boat trip participate various activity fishing trip water cruise middle lake mokoia island countless water bird parked maori fortress great love story new zealand service desk park front novotel sign visit mocuia dip hot spring waikemiah known heinemoa spring looking beauty lake enough time trip nearby maori cultural village good choice drive downtown rotorua besides enjoying maori song dance performance puhutu geyser spectacle missed,None Related,585
Africa,Khan el-Khalili,khalili market market cairo even egypt business since century feel enthusiastic merchant noisy bargaining sound market fragrance spice variety gadget make linger enter market entrance road lined historic arab building side even old city wall gate even buy anything good place experience local atmosphere picture famous fisherman cafe fishawicafe entrance market may well sit drink cup traditional arabic tea,None Related,122
United States,NovaBay Pharmaceuticals,biopharmaceutical company developing product eyecare skincare market,Biotechnology,11
South America,Santa LucÃ­a Hill,mountain meter high conical hill delicate unique garden mountain entrance foot mountain dark red ancient greek white cloud porch simple vigorous giant mural side porch nearby stand statue hero indian war colonial rule circling curved stone step ancient church cactus different shape,None Related,90
Portugal,Sintra,city sintra kilometer away lisbon foot sintra mountain national natural park roman moor settled city sintra listed world heritage site city sintra big attraction want look flower set aside day savor charm sintra mountain surrounded towering ancient tree exotic tree forest dense fog ear chirping bird insect walking like entering forest road sign reach attraction smoothly without worrying getting lost enjoy charming scenery along way,None Related,141
Malaysia,Mataking Island,madatin island northern upper end mabul island near sipadan island private island belonging thereefdiveresort resort building traditional malaysian design island hotel gorgeous cabin diving center suitable diving diving vacation come dive enjoy vacation feeling marine ecology inhabiting water maagin cover plankton larger marine specie attracting underwater photographer novice diver even professional diver east coast madin island coral cliff sloping depth meter west coral cliff depth meter diver commented vividly colored coral seabed madagain indeed paradise kind marine life marine specie appear include resident rainbow batfish wrasse barracuda hawksbill lobster giant clam ray addition net red sea swing exploded in reason attracting tourist,None Related,192
Israel,CytoReason,cytoreason tech company transforming trial error using ai platform computational disease model extensive database public proprietary data company map human disease tissue tissue cell cell researcher level rely technology make decision across drug development life cycle scientist identify potential target prioritize indication stratify patient population program leader compare drug across multiple disease multiple drug within single disease,Biotechnology,88
France,Seine River tour boat,company along seine river provide seine river cruise dining service generally equipped chinese language guide choose depart iconic location notre dame cathedral eiffel tower generally cruise ship rainproof facility equipped air conditioner equipment cope kind weather cruise ship equipped explanation broadcast listen closer understand coastal attraction,None Related,85
France,Wall of Love,wall love paris small park hillside montmartre north paris love wall cover area square meter consists dark blue rectangular tile wall filled love written font language couple come paris go love wall couple kiss picture letting romantic love wall witness love baron initiator montmartre love wall french musician known writing love song since baron collected recorded handwriting love written language established montmartre love wall valentine day february wall painting girl dark blue suspender dress reclining small table next painting line small print sensible demand soyonsraisonnable left side wall found three vertical row chinese character love,None Related,190
France,Grand Palais,grand palais welcome international exposition paris place de la concorde east arc de triomphe west beautiful pont alexander iii seine south grand palace closed renovation reopened mainly major cultural event art exhibition fashion show ring corridor around hall leading exhibition hall antique biennale held every september year held reopened grand palais since since inception exhibition successfully held time six time held louvre west wing building palace discovery palace discovery established goal giving grasp method scientific research visitor conduct science experiment learn fundamental physic chemistry biology astronomy medicine information technology,None Related,181
Portugal,Carmo Convent,carmo monastery chiado district lisbon next santa justa lift facing jorge castle hill quiet piazza del carmo ruin lisbon earthquake ruin gothic church main remnant earthquake still seen city cobbled street beside monastery facade old building reveal strong sense history much building destroyed earthquake today monastery turned museum religious sculpture carving museu carmo museu carmo museum divided two exhibition room left right displaying fine work modern archaeological discovery portugal stone statue sarcophagus mummy hidden path next monastery lead top santa justa lift looking around feel like whole city front rossio square nearby,None Related,192
United States,Colorado,produce autonomous system yard operation promote safety efficiency sustainability technology help cut repetitive manual task management software allows operation monitored remotely among customer,Robotic,42
Switzerland,Actelion,pharmaceutical biotechnology company established december focus manufacture drug treat rare orphan disease drug produced used treat patient symptom related central nervous system disorder irregular heart condition immune system disorder cancer focus actelion treating individual pulmonary arterial hypertension pah heart condition leaf patient short life expectancy year even treatment,Biotechnology,81
United States,Scythe Robotics,develops product technology lawn care industry eliminating pollution risk flagship product commercial autonomous mower us semantic awareness mapping precision localization planning control operate feature sensor noise reduction battery life,Robotic,48
United States,Intuitive,robot used minimally invasive surgery equipped advanced vision technology energy system stapling instrument continually upgraded da vinci platform used million surgery since late newer ion platform used minimally invasive peripheral lung biopsy,Robotic,47
New Zealand,Whale Watch Kaikoura,get close personal world largest toothed predator giant sperm whale lucky opportunity rare dark spotted dolphin hector dolphin new zealand fur seal animal voyage,None Related,42
Indonesia,Ulun Danu Beratan Temple,temple shore pristine crater lake act vehicle offering water lake river goddess danu balinese tradition king mengwi commissioned temple still stand beautifully ever adjacent holy tour available speed boat trip around lake temple popular option,None Related,71
United States,PracticePoint,practicepoint research development facility worcester polytechnic institute designed accelerate release new healthcare technology provides state art facility company test new technology setting leveraging knowledge experience wpi faculty research staff,Robotic,53
Portugal,National Archaeological Museum,national archaeological museum large rich museum athens important cultural relic collected different archaeological site greece ranging prehistoric late antiquity museum exarhia district athens entrance patissionavenue next historic building athens polytechnic museum overview exhibition area museum mainly divided two floor total exhibition hall collection nearly document cultural relic reflect content greek mythology effective way gain detailed understanding ancient greek art culture usually may half day read content carefully basically hour read,None Related,130
Africa,Hercules Caves,mountain near sea north side downtown tangier hole big dozen meter entrance hole head turning corner end hole facing sea happens little sea level vast sea hole seagull flying air time magnificent scenery sunrise sunset sea entrance cave small square surrounded six seven coffee shop souvenir shop park middle suitable leisurely sitting cup coffee blowing sea breeze,None Related,143
United States,Amazon,amazon robotics creates implement autonomous robot control software robotic language vision sensing fulfillment center operation originally called kiva system company us robot automated storage retrieval mechanism throughout vast warehouse implementation robotics reportedly cut cost percent robot locate carry entire shelf individual product conveyor belt save time resource amazon robotics announced collaboration mit create science hub robotics artificial intelligence research,Robotic,91
Indonesia,Kuta Square,kuta foreign street famous gathering place westerner early prosperous day bali street lined variety handicraft boutique clothing store antique silver shop marine supply store number large department store furthermore several restaurant serving delicious specialty dish bar attraction make excellent destination lover ofshopping,None Related,69
Malaysia,Masjid Bandaraya Kota Kinabalu,floating mosque known kota kinabalu city mosque shore likas bay northeastern side downtown kota kinabalu mosque classic example contemporary islamic architecture offer unforgettable view sunset stunning scenery feature white mosque reflected lake surrounding accented backdrop clear blue sky,None Related,66
Ireland,Allergan,pharmaceutical company acquires develops manufacture market brand name drug medical device area medical aesthertics eye care central nervous system gastroenterology company maker botox,Biotechnology,34
France,"Evian Town, France",town evian famous mineral water upscale resort shore lake geneva walking along sidewalk lake exquisite building late century early century city hall spa treatment center stand another reminding prosperous era france evian water source source de cachat near city center taste gushing water cruise lake le man lausanne switzerland minute french alp side swiss grape field walking lake looking scenery side relaxing thing evian town birthplace evian water place world taste evian water free public drinking water point evian town evian water flow year town drink free early morning dusk resident town line fill drinking water take dozen second fill empty bottle bottle evian water town store sell euro said living switzerland drive hour weekend fill enough water drink week leave,None Related,253
France,Arles Amphitheatre,colosseum arles reign roman empire end century ad arena transformed fortress middle age rebuilt arena century temporary bullring easter spring september used opera house theater outdoor theater entire arena oval long diameter meter short diameter meter height meter structure surrounded arch although building roman era style classical greek architecture seen pillar decoration stone carving etc climb tower entrance view ancient city arles rhone river surrounding mountain current arles arena famous bullfight still use today place france bullfight attractive bullfighting fan often hard get ticket addition bullfight play concert held summer,None Related,205
United States,Anduril,anduril build hardware software product designed solve biggest security challenge america ally lattice platform integrates data anduril system single dashboard sentry tower intelligent air support device anduril present technology deploys hour year,Robotic,54
Portugal,Sintra National Palace,royal palace sintra sintra near lisbon portugal john completed reign manuel century portugal medieval royal palace le continuously inhabited royal family early century late century palace combine moorish visigothic architectural style large chimney particularly two tall white chimney similar horn called horn palace royal palace king summer palace portuguese republic established characteristic room palace among large swan hall beautifully decorated swan different pose depicted ceiling mermaid room decorated tile china room collection chinese ivory tower badge room decorated beautiful tile mural aristocratic badge part cultural landscape sintra listed world heritage site unesco,None Related,183
Africa,Duiker Island,south seal island small island hout bay houtbay famous large number seal seagull island cape fur seal native southern breed coast south namibia reach speed kilometer per hour seal island kilometer away hout bay pier go seal island seal need cruise ship,None Related,82
United States,Abbott Laboratories,health care company specializes cardiovascular diagnostics diabetes neuromodulation product abbott produce nutrition brand including pedialyte ensure glucerna similac,Biotechnology,22
Japan,SensÅ-ji,oldest significant buddhist temple asakusa district dedicated bodhisattva compassion first temple founded far back ce destroyed world war ii eventually rebuilt stand symbol rebirth peace small shop line main street approaching temple popular area tourist among part tokyo spring grand festival held around course day upwards million visit temple complex,None Related,105
Malaysia,Genting Highlands,genting highland known genting world meter sea level plateau summer resort southeast asia large amusement park shopping mall movie theater yunxing theater facility well several hotel good environment like hilltop city ideal day trip family vacation hour drive kuala lumpur genting highland cable car top mountain cable car slowly ascends exotic flower grass unique malaysia suddenly appear front overlooking tropical rainforest landscape foot magnificent sitting halfway mountain often cloud mist like entering fairyland reach top mountain various building looming cloud mist thing played entire genting highland relatively concentrated avoid weekend holiday day trip go early morning return kuala lumpur day recommended buy return ticket advance feel day enough play book hotel advance avoid full event concert etc recommended attraction genting amusement park divided outdoor field indoor field outdoor field experience variety exciting ride roller coaster jumping machine superman flying indoor field mini train space boat child suitable play exclusive circus ride rainforest park facility addition artificially created romantic ice snow world snow castle video game center game console park definitely make addicted go genting strawberry farm pick strawberry taste various beverage food buy coffee black tea friend relative efficacious yunxing theater genting highland chinese singer international star often hold concert award ceremony interested may wish book ticket early possible check schedule recent performance http addition genting first city integrates shopping food leisure described cold shopping paradise malaysia several hotel genting highland among first world hotel first world hotel specific accommodation fee hotel please refer http,None Related,448
Korea,Bukchon Hanok Village,bukchon hanok village classic traditional residential area seoul house perfectly preserved house joseson era addition traditional hanok korean restaurant hanbok store traditional handicraft workshop area includes number cafe western restaurant clothing shop gallery traditional korean house visitor choose either visit north village stay hanok eight village kitamura famous attraction bukchon hanok village scene highlight architectural charm hanok house artistic others rich flavor daily life local resident,None Related,106
United States,Day Zero Diagnostics,future infectious disease diagnostics start day zero using sequencing wgs proprietary enabling technology day zero creating new class diagnostics generates clinically actionable data scale technology include novel sample preparation method enabling unprecedented enrichment pathogen dna sequencing directly clinical sample machine learning algorithm provide clinically actionable diagnostic result database wgs drug efficacy profile day zero diagnostics mission transform way infectious disease diagnostics performed generating stream sequencing data required change track manage combat infectious disease enormous unmet clinical economic need targeting bloodstream infection sepsis first application life expectancy patient septic shock hour without fast effective antibiotic treatment however even successful current diagnostics day identify pathogen provide antibiotic susceptibility profile lack rapid accurate comprehensive diagnostics force physician patient severe infection powerful yet toxic antibiotic ineffective case lead significant morbidity mortality day zero delivers complete diagnosis including specie antibiotic resistance profile hour day enabling physician use targeted treatment day zero hospital admission resulting better patient outcome cost saving,Biotechnology,248
Japan,Ujikami Shrine,ujigami shrine north side uji shrine ancient shrine japan according research founded heian period main hall shrine listed national treasure japan spring ujigami shrine called kirihara water seven famous water uji ancient time existing ancient famous spring worship hall kamakura period shrine important cultural relic japan,None Related,94
United States,Viatris,produce sell variety medicine approved therapeutic molecule portfolio viatris product cover therapeutic area including cardiovascular infectious disease oncology immunology cns anesthesia woman healthcare diabetes metabolism gastroenterology respiratory allergy dermatology,Biotechnology,40
Korea,Haneul Park,sky park world cup park grass park second construction site lanzhi island used area poor soil lanzhi island sky park famous step overlook panoramic view seoul boundless grass sky park characterized vast expanse grass ridge line made convenience drainage boundary line divided area according taller grass planted north south side short grass planted east west side north tall grassland purple awn rippling purple awn group citizen feel nature low grassland native variety large thistle violet bitterweed naturalized variety white alfalfa among white alfalfa help plant grow promote soil decomposition suitable plant place like laneige island since year ago butterfly including yellow butterfly blue swallowtail butterfly nymph butterfly golden swallowtail butterfly released lanzhi island sky park center spring early summer butterfly flying sky help pollinate plant greatly contributed stability plant ecosystem laneige island another feature walking stair looking yuanjing sky park step along road step marked number walking step like walking towards sky step step standing sky park lanzhi island scenery seoul catch eye glance bukhan mountain north namsan mountain building east gate han river south lucky state mountain fortress west order full advantage excellent viewing condition observation deck inclined surface visitor rest time bush outside park higher grass large tree like oak planted allow visitor rest shade,None Related,384
United States,Tempus,technology company building world largest library molecular clinical data operating system make data accessible useful,Biotechnology,25
Japan,Kiyomizu-dera Temple,temple ancient temple kyoto listed world cultural heritage site veranda temple suspended moutain national treasure japan surrounded green tree full cherry blossom spring autumn red maple leaf another attraction equivalent arashiyama famous historical site kyoto pilgrim visiting tourist come worship year round come,None Related,85
New Zealand,Milford Sound Scenic Cruises,milford sound modern spacious milford sound cruise unobstructed view outside boat area interior cabin boat feature comfortable indoor lounge large panoramic picture window allowing waterfall wildlife close bow spacious upper outdoor deck look directly water captain provide informative commentary cruise play commentary language certain time,None Related,82
New Zealand,Hobbitonâ¢ Movie Set Tours,hobbit village part woodlyn park filming scene film lord ring hobbit cave hobbit village cave designed originality carefully tended craftsman everyday enter scenic spot taking guided bus entrance watch welcome sign entrance read welcome hobbiton enjoy green hillside dotted lake underground wooden house inhabited hobbit stone arch bridge mountain path fence garden walk arch bridge pas mill rolling waterwheel come green dragon completely restored appearance movie making feel stepped enjoy ginger beer delicious lunch dinner ca miss night tour hobbit village start shire rest enjoy hobbit dinner green dragon special night trip small lantern experience life dwarf restore movie scene immerse fairy tale town ejoy fenced garden mirror lake blockbuster taste traditional hobbit food visit hobbit village night,None Related,233
